年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2023,1,1,0,C
2023,1,2,0,C
2023,1,3,0,C
2023,1,4,0,C
2023,1,5,0,C
2023,1,6,0,C
2023,1,7,0,C
2023,1,8,0,C
2023,1,9,0,C
2023,1,10,4.5,C
2023,1,11,3,C
2023,1,12,1,C
2023,1,13,0.5,C
2023,1,14,0.5,C
2023,1,15,0,C
2023,1,16,0,C
2023,1,17,0,C
2023,1,18,0,C
2023,1,19,0,C
2023,1,20,0,C
2023,1,21,0,C
2023,1,22,0,C
2023,1,23,0,C
2023,1,24,0,C
2023,1,25,0,C
2023,1,26,0,C
2023,1,27,0,C
2023,1,28,0,C
2023,1,29,0,C
2023,1,30,0,C
2023,1,31,0,C
2023,2,1,0,C
2023,2,2,0,C
2023,2,3,0,C
2023,2,4,0,C
2023,2,5,0,C
2023,2,6,0,C
2023,2,7,0,C
2023,2,8,0,C
2023,2,9,0,C
2023,2,10,0,C
2023,2,11,1.5,C
2023,2,12,0,C
2023,2,13,0,C
2023,2,14,0,C
2023,2,15,0,C
2023,2,16,0,C
2023,2,17,0,C
2023,2,18,0,C
2023,2,19,0,C
2023,2,20,0,C
2023,2,21,0,C
2023,2,22,0,C
2023,2,23,0,C
2023,2,24,0,C
2023,2,25,0,C
2023,2,26,0,C
2023,2,27,0,C
2023,2,28,0,C
2023,3,1,0,C
2023,3,2,0,C
2023,3,3,0,C
2023,3,4,0,C
2023,3,5,0,C
2023,3,6,0,C
2023,3,7,0,C
2023,3,8,0,C
2023,3,9,0,C
2023,3,10,0,C
2023,3,11,0,C
2023,3,12,0,C
2023,3,13,0.5,C
2023,3,14,0,C
2023,3,15,0,C
2023,3,16,0,C
2023,3,17,0,C
2023,3,18,0,C
2023,3,19,0,C
2023,3,20,0.5,C
2023,3,21,0,C
2023,3,22,0,C
2023,3,23,0,C
2023,3,24,0,C
2023,3,25,7,C
2023,3,26,7,C
2023,3,27,5.5,C
2023,3,28,0,C
2023,3,29,0,C
2023,3,30,1,C
2023,3,31,2,C
2023,4,1,0,C
2023,4,2,0,C
2023,4,3,0.5,C
2023,4,4,0,C
2023,4,5,0,C
2023,4,6,0.5,C
2023,4,7,6,C
2023,4,8,0,C
2023,4,9,0.5,C
2023,4,10,0,C
2023,4,11,0,C
2023,4,12,0,C
2023,4,13,0,C
2023,4,14,0,C
2023,4,15,0,C
2023,4,16,0,C
2023,4,17,0,C
2023,4,18,0,C
2023,4,19,21.5,C
2023,4,20,35.5,C
2023,4,21,15.5,C
2023,4,22,0,C
2023,4,23,0,C
2023,4,24,0.5,C
2023,4,25,0,C
2023,4,26,0,C
2023,4,27,0,C
2023,4,28,0,C
2023,4,29,0,C
2023,4,30,0,C
2023,5,1,0,C
2023,5,2,0,C
2023,5,3,0,C
2023,5,4,0,C
2023,5,5,0,C
2023,5,6,0,C
2023,5,7,17,C
2023,5,8,38,C
2023,5,9,0,C
2023,5,10,0,C
2023,5,11,0,C
2023,5,12,0,C
2023,5,13,9,C
2023,5,14,26.5,C
2023,5,15,0,C
2023,5,16,0.5,C
2023,5,17,0.5,C
2023,5,18,0,C
2023,5,19,0,C
2023,5,20,0,C
2023,5,21,0,C
2023,5,22,0,C
2023,5,23,7,C
2023,5,24,0.5,C
2023,5,25,0,C
2023,5,26,0,C
2023,5,27,0,C
2023,5,28,0,C
2023,5,29,0,C
2023,5,30,0,C
2023,5,31,0,C
2023,6,1,5.5,C
2023,6,2,0,C
2023,6,3,0,C
2023,6,4,0,C
2023,6,5,6,C
2023,6,6,7.5,C
2023,6,7,17.5,C
2023,6,8,1,C
2023,6,9,19.5,C
2023,6,10,2.5,C
2023,6,11,8,C
2023,6,12,3,C
2023,6,13,0,C
2023,6,14,18,C
2023,6,15,77.5,C
2023,6,16,54.5,C
2023,6,17,30,C
2023,6,18,17,C
2023,6,19,1,C
2023,6,20,2,C
2023,6,21,0,C
2023,6,22,0,C
2023,6,23,1,C
2023,6,24,14,C
2023,6,25,3,C
2023,6,26,0.5,C
2023,6,27,0,C
2023,6,28,35.5,C
2023,6,29,0,C
2023,6,30,4,C
2023,7,1,0,C
2023,7,2,17,C
2023,7,3,11.5,C
2023,7,4,0,C
2023,7,5,0,C
2023,7,6,0,C
2023,7,7,0,C
2023,7,8,0,C
2023,7,9,0,C
2023,7,10,0,C
2023,7,11,0,C
2023,7,12,0,C
2023,7,13,0,C
2023,7,14,5,C
2023,7,15,1.5,C
2023,7,16,2.5,C
2023,7,17,11,C
2023,7,18,1,C
2023,7,19,1,C
2023,7,20,1,C
2023,7,21,0,C
2023,7,22,0,C
2023,7,23,0,C
2023,7,24,0,C
2023,7,25,0,C
2023,7,26,0,C
2023,7,27,2.5,C
2023,7,28,0,C
2023,7,29,1,C
2023,7,30,30.5,C
2023,7,31,0,C
2023,8,1,0,C
2023,8,2,0,C
2023,8,3,0,C
2023,8,4,0,C
2023,8,5,3.5,C
2023,8,6,0,C
2023,8,7,1,C
2023,8,8,0,C
2023,8,9,0,C
2023,8,10,3,#
2023,8,11,***,
2023,8,12,***,
2023,8,13,***,
2023,8,14,***,
2023,8,15,***,
2023,8,16,0,#
2023,8,17,0,C
2023,8,18,3,C
2023,8,19,26.5,C
2023,8,20,0,C
2023,8,21,10.5,C
2023,8,22,0,C
2023,8,23,0,C
2023,8,24,7.5,C
2023,8,25,0,C
2023,8,26,0,C
2023,8,27,5.5,C
2023,8,28,9.5,C
2023,8,29,0,C
2023,8,30,0,C
2023,8,31,1,C
2023,9,1,10.5,C
2023,9,2,21,C
2023,9,3,0,C
2023,9,4,0,C
2023,9,5,0,C
2023,9,6,0,C
2023,9,7,43,C
2023,9,8,128.5,C
2023,9,9,6,C
2023,9,10,64,C
2023,9,11,6.5,C
2023,9,12,29.5,C
2023,9,13,0,C
2023,9,14,14,C
2023,9,15,13,C
2023,9,16,8.5,C
2023,9,17,0,C
2023,9,18,0,C
2023,9,19,0,C
2023,9,20,0,C
2023,9,21,0,C
2023,9,22,0,C
2023,9,23,0,C
2023,9,24,6.5,C
2023,9,25,1,C
2023,9,26,0,C
2023,9,27,0,C
2023,9,28,0,C
2023,9,29,0.5,C
2023,9,30,0,C
2023,10,1,0,C
2023,10,2,0,C
2023,10,3,0,C
2023,10,4,0,C
2023,10,5,0,C
2023,10,6,0,C
2023,10,7,0,C
2023,10,8,124.5,C
2023,10,9,198,C
2023,10,10,0,C
2023,10,11,0,C
2023,10,12,0,C
2023,10,13,0,C
2023,10,14,0,C
2023,10,15,0,C
2023,10,16,0,C
2023,10,17,0,C
